date_time: 05/11/2023 09:04, response_time: 0.106443, up_time: 100%
date_time: 06/11/2023 09:03, response_time: 0.064218, up_time: 100%
date_time: 07/11/2023 09:01, response_time: 0.109065, up_time: 100%
date_time: 08/11/2023 09:01, response_time: 0.104610, up_time: 100%
date_time: 09/11/2023 09:02, response_time: 0.092122, up_time: 100%
date_time: 10/11/2023 09:01, response_time: 0.156324, up_time: 100%
date_time: 11/11/2023 09:00, response_time: 0.083604, up_time: 100%
date_time: 12/11/2023 09:05, response_time: 0.091706, up_time: 100%
date_time: 13/11/2023 09:03, response_time: 0.106492, up_time: 100%
date_time: 14/11/2023 09:01, response_time: 0.072067, up_time: 100%
date_time: 15/11/2023 09:02, response_time: 0.066632, up_time: 100%
date_time: 16/11/2023 09:03, response_time: 0.069307, up_time: 100%
date_time: 17/11/2023 09:03, response_time: 0.079440, up_time: 100%
date_time: 19/11/2023 09:07, response_time: 0.098427, up_time: 100%
date_time: 20/11/2023 09:04, response_time: 0.099449, up_time: 100%
date_time: 21/11/2023 09:04, response_time: 0.062649, up_time: 100%
date_time: 22/11/2023 09:05, response_time: 0.084324, up_time: 100%
date_time: 23/11/2023 09:02, response_time: 0.059149, up_time: 100%
date_time: 24/11/2023 09:01, response_time: 0.070816, up_time: 100%
date_time: 25/11/2023 09:00, response_time: 0.066522, up_time: 100%
date_time: 26/11/2023 09:06, response_time: 0.080235, up_time: 100%
date_time: 27/11/2023 09:03, response_time: 0.080626, up_time: 100%
date_time: 28/11/2023 09:04, response_time: 0.080918, up_time: 100%
date_time: 29/11/2023 09:04, response_time: 0.058361, up_time: 100%
date_time: 30/11/2023 09:03, response_time: 0.085083, up_time: 100%
date_time: 01/12/2023 09:09, response_time: 0.071114, up_time: 100%
date_time: 02/12/2023 09:00, response_time: 7.546493, up_time: 100%
date_time: 03/12/2023 09:06, response_time: 0.079701, up_time: 100%
date_time: 04/12/2023 09:04, response_time: 0.083550, up_time: 100%
date_time: 05/12/2023 09:04, response_time: 0.070815, up_time: 100%
date_time: 06/12/2023 09:04, response_time: 0.083927, up_time: 100%
date_time: 07/12/2023 09:03, response_time: 0.098450, up_time: 100%
date_time: 08/12/2023 09:04, response_time: 0.072002, up_time: 100%
date_time: 09/12/2023 09:02, response_time: 0.085133, up_time: 100%
date_time: 10/12/2023 09:07, response_time: 0.093891, up_time: 100%
date_time: 11/12/2023 09:04, response_time: 0.080571, up_time: 100%
